post,is_stress,stress_kind
i am moving in two weeks and i'm not prepared.,1,Emotional Turmoil
i am nervous about applying to pt school and getting in,1,Work
i am not able to get my laptop to start.,1,Other
i am not ambitious enough to accomplish my goals.,1,Emotional Turmoil
i am not feeling well,1,Work
i am not getting any hits in my hit catcher.,1,Other
i am not making enough money,1,Financial Problem
i am not making enough money i don't have enough clientele,1,Work
i am not making enough money to support my family.,1,Financial Problem
i am not sure how i feel about my new job.  everyone is nice but i have a lot of doubts,1,Work
i am off work due to surgery and i dont have income,1,Financial Problem
I am on self-isolation and I am a little anxious / stressed and not working enough.,1,Work
"I am out of a job, a car and I am homeless. I don't know what I am going to do!",1,Emotional Turmoil
i am out of money and am going to be homeless,1,Financial Problem
I am overwhelmed by the preparation of my interview,1,School
"I am panicking, I receive zero income during this Coronavirus pandemic. Idk what to do!",1,Financial Problem
i am really deciding on whether i should quit my job or not.,1,Work
I am really stressed about starting online classes because I won't be motivated,1,School
I am really stressed out about the pandemic because I have asthma and my man has Copd,1,"Health, Fatigue, or Physical Pain"
I am really upset that I am unable to visit my 95-year-old mother in the nursing home.,1,Family Issues
"i am selling my house, but so far there have been no offers.",1,Financial Problem
i am so behind on my bills i don't want to lose my apartment.,1,Financial Problem
i am so broke!!,1,Financial Problem
"i am so ready to buy a home, but i am still a broke college student.",1,Financial Problem
I am so scared for my mom,1,Family Issues
i am so sick of my job.,1,Work
"I am so stressed about my finances or rather, lack thereof.",1,Financial Problem
i am so stressed because i have had to work mandatory overtime.,1,Work
I am so stressed out and i cannot bear  what i am going through please give me some help,1,School
I am so stressed with COVID crapy and my romantic girlfriend's medical diagnosis .,1,Other
i am so tired of being so sick,1,"Health, Fatigue, or Physical Pain"
i am so unsure of what to make for dinner tonight,1,Financial Problem
I am so worried about getting work done at work and I have all this other stuff that is.,1,Work
"i am sooooo stressed out. let's go out for dinner and drinks, and let's talk.",1,School
"i am sorry busy right now. i will back you soon,",0,Emotional Turmoil
i am starting to regret opening my business. i'm running out of money,1,Work
I am stress of coronavirus,1,"Health, Fatigue, or Physical Pain"
i am stress out for the deadline from my company's monthly report. any good idea?,1,Work
I am stressed about cornovirus,1,Financial Problem
I am stressed about finding necessary hygiene items right now with others stockpiling.,1,Other
i am stressed about getting my application decisions,1,School
I am stressed about meeting a deadline at work.,1,Work
i am stressed about money and work,1,Financial Problem
i am stressed about money.,1,Financial Problem
i am stressed about my wife's death.,1,Family Issues
I am stressed about new job which I recently started 2 months ago.,1,Work
i am stressed about paying of my credit card after christmas,1,Financial Problem
i am stressed about planning the thanksgiving meal,1,Other
I am stressed about the economy.,1,Other
I am stressed about the pandemic global lockdown,1,"Health, Fatigue, or Physical Pain"
I am stressed about the virus effect on the economy,1,Financial Problem
i am stressed about this holiday seasons and money.,1,Other
i am stressed about whether i should apply for a job or not,1,Work
i am stressed at work because i have very little time to breathe!,1,Work
i am stressed at work because my hours got cut,1,Work
I am stressed because I lost my job because of the virus and I need to pay bills :(,1,Financial Problem
I am stressed due to the fact my job had to make pay cuts,1,Work
i am stressed out about bills because we have lost income we normally receive. e.,1,Financial Problem
i am stressed out about my daughter's health issues.,1,Family Issues
I am stressed out about not being able to work during COVID 19 outbreak.,1,Other
I am stressed out about the coronavirus.,1,Emotional Turmoil
i am stressed out by the rising workload and stagnant pay in my current job.,1,Work
"i am stressed out financially, i am worried about paying my bills.",1,Financial Problem
I am stressed out from being quarantined for the last 10 days.,1,Work
i am stressed out over getting our old house all packed up.,1,"Health, Fatigue, or Physical Pain"
i am stressed out over my current electric bill. i am not going to be able to pay it.,1,Financial Problem
I am stressed over the stay at home order from the governor.,1,"Health, Fatigue, or Physical Pain"
i am stressed trying to find a side dish to make for thanksgiving.,1,Everyday Decision Making
I am stressful about no job and need to feed my 4 months old baby.,1,Work
I am stressing about my brother and how he is doing. He hasn't been doing well.,1,Family Issues
I am stressing about my recovery from my surgery,1,"Health, Fatigue, or Physical Pain"
I am stressing about paying my bills and feeding my family,1,Everyday Decision Making
i am stressing out about graduate school,1,School
I AM STRESSING OUT ABOUT HOW TO HANDLE WORING AT HOME,1,Work
i am stressing out because my performance review at work is coming up.,1,Work
I am stressing out I an't pay my bills this month.,1,Financial Problem
I am stressing over the state of the economy and health of others.,1,"Health, Fatigue, or Physical Pain"
i am struggling to find the rest of the money due to pay my electri boill for the month,1,Financial Problem
I am struggling with anxiety recently and worried because it consumes a lot of my life.,1,"Health, Fatigue, or Physical Pain"
i am struggling with feeling valuable in the workplace.,1,Work
i am struggling with my son and his school not following his iep plan.,1,School
I am stuck at home because of the coronavirus!,1,Other
I am super bugged by being trapped in the house during quarentine!,1,Emotional Turmoil
i am taking 18 credits this semester.,1,School
i am trying my best and dont seem to be getting ahead.,1,Work
i am trying to balance my finances with the hobbies i want to partake in.,1,Financial Problem
i am trying to find a new job but having a hard time applying.,1,Work
i am trying to get full custody of my child and am undergoing a custody evaluation.,1,Social Relationships
i am trying to interact with a person who at times is in a bad mood,1,Social Relationships
i am trying to write my thesis,1,Work
I am unable to travel to see family,1,Family Issues
I am unable to work because of the Covid 19. It is so stressful,1,Work
I am under a lot of deadlines at work.,1,Work
i am undermined by my seniors,1,Work
I am upset because I can't go to grad school this fall.,1,School
I AM VERY  MUCH STRESSFUL BECAUSE OF MY HEALTH PROBLEM,1,Work
"I am very concerned about the coronavirus, and my finances.",1,Financial Problem
i am very happy to your meeting that i am very happy,0,Emotional Turmoil
i am very poor right now.,1,Financial Problem
I am very stressed about being stuck in the house during COVID-19,1,Other
I am very stressed about COVID-19,1,Other
I am very stressed out about the coronavirus-19.  I haven't been able to check my parent,1,Family Issues
I am very stressed right now thinking about the coronavirus.,1,"Health, Fatigue, or Physical Pain"
I am very stressing about to stay home for a long time,1,Financial Problem
I am wondering if the current virus situation is going to affect my job.,1,Work
I am worried about being laid-off at work.,1,Work
I am worried about COVID-19.,1,"Health, Fatigue, or Physical Pain"
i am worried about finances.,1,Financial Problem
i am worried about graduating from college,1,School
i am worried about having enough money for the holidays.,1,Financial Problem
I am worried about how long we will have to be socially distant.,1,Social Relationships
i am worried about how sick my daughter is.,1,Family Issues
